This test runs the WebGL Test listed below in an iframe and reports PASS or FAIL.

Test: ../../resources/webgl_test_files/conformance2/attribs/gl-vertex-attrib.html
[ 1: PASS ] context exists
[ 2: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 495: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 496: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 497: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 498: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 499: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 500: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 501: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 502: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 503: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is 7
[ 504: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is 8
[ 505: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is 9
[ 506: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 507: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 508: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 509: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 510: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is 8
[ 511: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 9
[ 512: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 513: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 514: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 515: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 516: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 517: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 518: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 519: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 520: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 521: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 522: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 523: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 524: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 525: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 526: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 527: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 528: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] should be 1. Was 6.
[ 529: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 530: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] should be -1. Was 8.
[ 531: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 532: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 533: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 534: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 535: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 536: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 537: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 538: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 539: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] should be 2. Was 7.
[ 540: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 541: FAIL ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 542: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 543: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 544: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 545: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 546: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 547: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 548: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is -1
[ 549: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 550: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 551: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 552: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 553: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 554: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 555: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 556: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 557: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 558: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 559: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 560: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 561: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 562: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 563: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 564: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 565: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 566: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 567: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 568: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 569: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 570: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 571: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 572: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 573: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 574: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 575: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 576: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 577: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 578: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 579: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 580: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is -3
[ 581: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 582: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 583: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is 5
[ 584: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 585: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 586: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 587: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 588: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 589: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 590: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 591: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 592: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 593: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is 7
[ 594: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is 8
[ 595: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is 9
[ 596: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 597: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 598: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 599: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 600: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] is 8
[ 601: PASS ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] is 9
[ 602: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 603: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 604: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 605: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 606: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 607: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 608: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 609: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 610: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 611: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 612: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 613: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 614: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 615: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 616: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 617: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 618: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] should be 1. Was 6.
[ 619: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 620: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] should be -1. Was 8.
[ 621: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 622: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 623: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 624: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 625: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 626: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 627: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 628: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 629: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[1] should be 2. Was 7.
[ 630: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 631: FAIL ] gl.getVertexAttrib(6, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 632: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 633: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 634: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 635: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 636: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 637: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 638: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is -1
[ 639: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 640: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 641: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 642: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 643: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 644: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 645: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 646: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 647: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 648: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 649: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 650: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 651: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 652: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 653: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 654: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 655: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 656: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 657: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 658: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 659: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 660: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 661: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 662: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 663: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 664: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 665: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 666: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 667: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 668: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 669: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 670: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is -3
[ 671: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 672: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 673: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is 5
[ 674: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 675: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 676: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 677: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 678: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 679: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 680: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 681: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 682: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 683: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is 7
[ 684: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is 8
[ 685: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is 9
[ 686: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 687: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 688: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 689: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 690: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] is 8
[ 691: PASS ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] is 9
[ 692: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 693: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 694: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 695: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 696: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 697: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 698: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 699: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 700: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 701: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 702: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 703: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 704: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 705: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 706: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 707: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 708: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] should be 1. Was 6.
[ 709: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 710: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] should be -1. Was 8.
[ 711: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 712: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 713: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 714: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 715: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 716: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 717: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 718: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 719: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[1] should be 2. Was 7.
[ 720: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 721: FAIL ] gl.getVertexAttrib(7, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 722: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 723: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 724: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 725: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 726: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 727: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 728: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is -1
[ 729: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 730: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 731: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 732: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 733: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 734: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 735: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 736: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 737: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 738: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 739: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 740: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
